k pattern_length text_len alphabet_size patterns average_active_states states_with_error
2 20 100 24 1 [0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0] {"0":[6,95],"1":[1,13],"2":[0,2]} [1,16,7]
2 20 100 24 1 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0] {"0":[6,95],"1":[0,14]} [0,14,6]
3 20 100 24 1 [0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0] {"0":[16,85],"1":[2,23],"2":[0,4]} [2,29,18]
3 20 100 24 1 [0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,1,0,0,0,0,0,0,1,1,0,0,1,1,1,2,0,1,1,3,2,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,2,1,2,3,3,2] {"0":[19,82],"1":[6,39],"2":[2,9],"3":[0,3]} [8,61,25]
3 20 100 24 1 [0,0,0,0,1,2,2,2,4,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,2,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0] {"0":[15,86],"1":[5,34],"2":[1,8],"3":[1,0],"4":[1,0],"5":[0,1]} [8,51,23]
1 20 100 12 100 [1,3,4,5,6,6,7,7,8,5,5,5,5,4,5,5,4,6,6,6,5,6,7,5,7,6,5,5,6,6,6,4,4,6,6,5,5,5,6,6,7,5,5,6,5,5,6,7,7,9,5,5,5,5,7,7,6,6,7,5,3,3,5,7,9,7,5,5,6,9,8,7,5,5,5,6,7,6,5,5,7,5,5,5,5,6,5,5,4,6,8,6,5,4,6,7,5,5,5,8,3] {"0":[100,1],"1":[180,19],"2":[61,208],"3":[13,64],"4":[3,13],"5":[0,3]} [257,567,354]
1 20 100 12 100 [1,3,4,6,7,10,7,5,5,5,7,7,5,5,5,6,7,6,6,6,7,6,5,6,7,6,5,5,4,5,7,5,7,5,5,5,5,5,6,5,5,5,4,5,4,5,6,6,5,6,8,7,7,7,5,5,7,6,5,4,4,5,5,5,5,6,6,5,7,6,5,6,5,5,5,5,4,5,6,6,5,5,6,6,7,8,5,5,6,5,5,5,6,4,4,5,4,4,7,6,2] {"0":[100,1],"1":[182,17],"2":[53,218],"3":[7,63],"4":[2,6],"5":[0,2]} [244,552,342]
1 20 100 12 100 [1,3,6,6,4,6,6,3,5,5,4,4,5,4,4,5,6,7,5,7,8,4,4,6,6,7,7,7,5,5,4,4,4,4,6,6,5,6,6,7,6,4,4,4,5,3,3,5,5,5,3,3,5,6,7,6,5,6,5,6,5,6,5,5,6,5,5,4,5,5,7,7,6,5,5,5,7,5,5,6,5,3,6,6,6,8,5,5,4,4,4,3,4,5,5,3,4,6,7,7,3] {"0":[100,1],"1":[157,42],"2":[56,174],"3":[6,66],"4":[1,9],"5":[0,1]} [220,515,317]
2 20 100 12 100 [1,3,6,10,11,8,12,15,15,15,16,14,17,14,12,11,11,12,12,13,11,11,11,11,12,14,14,14,18,20,18,16,16,13,13,11,12,13,12,17,14,15,16,17,15,15,14,16,13,12,13,13,14,12,14,11,16,19,18,17,13,13,15,14,15,16,17,15,12,11,14,15,12,12,11,11,10,9,12,13,13,12,17,13,14,14,14,11,10,9,10,12,14,14,16,12,16,16,16,10,6] {"0":[100,1],"1":[288,9],"2":[216,355],"3":[55,309],"4":[10,67],"5":[1,11],"6":[0,1]} [570,1328,664]
2 20 100 12 100 [1,3,7,11,11,15,15,20,17,15,13,16,16,16,12,15,12,15,14,12,10,11,11,11,13,11,13,11,13,14,11,9,13,14,14,16,18,25,23,16,14,16,14,18,14,13,17,16,14,13,11,11,10,13,12,12,13,14,16,19,15,15,14,15,13,13,10,10,11,12,12,12,14,13,13,13,13,12,12,14,16,18,19,16,16,11,14,12,10,11,10,11,10,14,18,14,13,11,12,12,7] {"0":[100,1],"1":[291,6],"2":[218,362],"3":[55,315],"4":[8,70],"5":[0,12]} [572,1344,665]
2 20 100 12 100 [1,3,6,11,14,16,13,15,19,18,15,12,13,14,13,13,16,14,15,13,10,11,14,17,16,17,15,13,11,12,14,13,10,11,11,12,14,12,12,14,15,11,11,12,13,13,11,9,12,13,14,13,11,11,12,14,13,14,13,17,14,14,17,12,16,17,23,14,13,13,12,19,22,22,14,13,13,13,12,10,13,16,14,17,14,13,16,19,13,13,12,15,19,22,20,15,12,11,11,16,8] {"0":[100,1],"1":[293,4],"2":[225,360],"3":[64,313],"4":[7,91],"5":[0,12]} [589,1377,681]
3 20 100 12 100 [1,3,7,15,25,36,32,36,38,40,39,45,41,42,35,30,24,23,29,30,26,30,29,26,28,31,29,37,30,36,32,27,28,14,14,21,32,30,32,40,34,28,31,31,26,34,32,39,27,29,33,44,42,51,36,26,21,25,30,30,26,23,29,29,30,30,25,29,37,28,24,28,33,30,34,34,32,28,31,34,31,31,23,20,22,24,23,21,25,25,27,29,34,34,38,29,21,26,22,26,15] {"0":[100,1],"1":[382,12],"2":[553,396],"3":[204,895],"4":[51,315],"5":[17,70],"6":[2,17],"7":[0,3]} [1209,2932,1294]
3 20 100 12 100 [1,3,7,15,20,29,36,32,27,26,30,28,37,25,26,24,24,22,30,35,40,33,38,46,53,66,43,28,28,27,34,30,32,30,33,32,32,32,38,36,30,27,30,28,31,40,48,46,28,29,33,28,27,29,27,26,34,42,29,22,24,29,26,31,29,39,38,29,27,32,37,32,31,29,30,37,38,34,39,41,36,31,28,26,36,38,37,25,22,26,24,27,32,37,31,32,24,27,34,30,14] {"0":[100,1],"1":[390,4],"2":[573,397],"3":[281,857],"4":[57,433],"5":[10,84],"6":[0,11]} [1311,3111,1397]
3 20 100 12 100 [1,3,7,13,20,28,32,34,42,38,41,30,26,27,33,39,45,31,24,19,25,30,27,31,29,24,30,30,34,28,26,33,37,37,37,31,32,36,38,38,33,32,37,33,31,33,32,35,38,31,33,37,33,32,33,38,32,20,28,30,34,30,29,30,32,35,34,26,28,36,33,32,32,31,33,32,34,35,30,31,26,26,30,22,22,27,27,34,34,40,41,41,38,37,42,36,34,31,27,26,13] {"0":[100,1],"1":[390,4],"2":[584,386],"3":[258,931],"4":[45,402],"5":[14,58],"6":[4,15],"7":[0,4]} [1295,3108,1382]
1 20 100 18 100 [1,2,2,4,5,4,4,5,5,4,5,5,5,5,5,5,5,6,3,3,2,3,3,4,4,5,4,3,4,5,2,3,4,4,5,4,4,4,5,5,5,4,4,2,4,6,5,5,5,5,3,2,3,2,2,4,4,5,5,3,3,2,4,6,4,4,4,4,3,3,2,2,3,4,4,5,5,2,2,3,3,3,4,4,4,2,3,5,4,3,3,4,3,4,3,3,3,2,4,3,1] {"0":[100,1],"1":[107,92],"2":[14,143],"3":[1,16],"4":[0,1]} [122,375,221]
1 20 100 18 100 [1,2,4,4,4,2,3,4,4,2,3,3,3,4,4,3,3,3,3,5,5,4,2,3,3,3,5,4,3,4,4,2,2,3,3,2,2,3,3,4,3,5,5,5,4,4,4,3,4,5,4,4,2,4,5,4,3,3,5,3,4,5,4,4,3,3,4,5,5,4,4,5,3,3,5,5,4,4,2,4,3,4,6,4,4,6,4,2,3,4,4,4,4,5,4,6,4,4,4,2,1] {"0":[100,1],"1":[105,94],"2":[10,148],"3":[0,11]} [115,369,214]
1 20 100 18 100 [1,3,4,5,5,5,4,4,2,3,2,3,5,5,4,6,4,4,4,3,3,4,5,6,5,3,3,4,4,4,5,5,6,4,5,3,4,4,5,4,5,5,4,3,4,3,3,3,5,4,6,4,2,2,3,3,2,4,7,4,2,4,5,4,4,3,3,4,5,4,4,6,6,6,4,6,3,4,6,6,5,5,3,3,5,5,4,4,5,3,4,4,5,3,3,5,3,3,5,5,2] {"0":[100,1],"1":[123,76],"2":[14,171],"3":[2,20],"4":[1,1],"5":[0,1]} [140,411,238]
2 20 100 18 100 [1,3,5,8,9,9,9,10,11,10,12,12,14,11,10,11,12,13,12,10,7,11,12,11,10,11,12,13,11,11,13,18,16,11,9,12,10,8,8,9,8,11,12,12,15,10,11,7,8,9,10,12,10,9,7,8,7,8,12,11,10,10,9,10,9,9,10,9,10,9,14,11,10,8,10,9,10,10,9,5,8,8,11,9,8,8,9,9,10,10,10,11,9,9,7,9,8,11,12,13,8] {"0":[100,1],"1":[257,40],"2":[94,419],"3":[13,146],"4":[1,20],"5":[0,2]} [365,1000,457]
2 20 100 18 100 [1,3,6,9,10,11,10,10,10,8,10,9,12,11,12,12,11,9,7,8,10,11,13,13,8,8,9,8,8,10,12,13,12,10,10,9,9,11,10,9,9,9,8,11,9,11,12,10,12,11,10,8,10,9,10,12,12,13,12,10,9,8,9,8,8,7,9,11,7,8,11,12,13,8,7,8,10,12,12,12,13,10,10,10,9,9,8,10,9,10,12,10,10,10,8,9,8,11,8,10,4] {"0":[100,1],"1":[254,43],"2":[93,416],"3":[10,144],"4":[0,13]} [357,977,453]
2 20 100 18 100 [1,3,5,7,7,7,10,9,8,9,8,7,8,9,9,10,13,13,10,9,9,8,8,8,9,9,9,7,9,9,7,8,9,10,9,8,6,9,9,11,11,11,12,11,8,7,11,9,6,8,6,8,10,10,7,7,10,12,15,13,7,6,8,6,6,6,7,10,8,9,9,10,9,9,8,8,9,8,11,11,9,9,9,7,5,5,8,7,8,9,10,11,10,8,6,7,9,11,12,12,6] {"0":[100,1],"1":[225,72],"2":[61,382],"3":[7,104],"4":[0,11]} [293,868,387]
3 20 100 18 100 [1,3,6,10,15,18,19,20,20,18,23,24,20,23,18,18,16,18,18,20,18,17,17,16,17,18,17,20,24,23,26,24,22,27,21,18,17,18,14,16,14,16,19,22,25,25,23,23,20,19,21,21,26,19,22,21,16,16,13,10,14,17,22,21,25,30,27,23,20,16,18,20,20,16,20,22,26,33,26,26,22,21,22,29,30,24,22,23,20,21,23,22,25,21,23,25,23,19,15,16,10] {"0":[100,1],"1":[376,18],"2":[273,657],"3":[63,488],"4":[9,97],"5":[1,14],"6":[0,1]} [722,2007,812]
3 20 100 18 100 [1,3,7,11,16,18,20,23,22,23,23,21,28,24,18,14,15,18,18,17,17,19,17,17,19,16,19,21,23,20,19,17,17,20,23,25,21,19,21,20,20,21,23,28,30,21,18,17,19,19,19,22,19,19,29,25,19,17,15,16,20,20,19,20,22,22,22,19,20,16,16,18,19,19,19,25,24,23,18,17,16,19,18,19,24,24,22,25,19,21,14,13,13,12,14,16,15,18,23,20,9] {"0":[100,1],"1":[364,30],"2":[258,648],"3":[48,469],"4":[4,77],"5":[1,8],"6":[1,0],"7":[0,1]} [676,1918,767]
3 20 100 18 100 [1,3,6,10,13,15,17,16,18,22,21,23,20,20,21,21,17,14,19,17,20,18,18,19,21,17,18,18,18,22,24,25,25,22,15,22,22,26,27,21,21,21,22,24,29,26,21,21,18,19,20,23,21,22,19,15,14,14,20,16,16,14,13,15,16,19,17,16,15,17,21,23,23,22,21,24,18,21,21,21,19,18,16,22,20,20,20,19,22,21,20,19,25,28,23,22,19,20,24,19,11] {"0":[100,1],"1":[365,29],"2":[263,648],"3":[52,470],"4":[6,83],"5":[1,8],"6":[0,2]} [687,1938,776]
1 20 100 24 100 [1,2,4,3,3,3,3,4,2,3,5,3,3,4,2,3,3,3,3,2,3,4,4,3,3,2,2,3,4,4,3,2,2,2,2,4,5,6,5,4,2,3,4,2,2,2,2,2,2,2,3,4,2,2,2,2,2,2,3,4,6,6,2,2,2,4,5,3,2,2,2,2,3,3,3,4,2,3,4,4,2,2,4,4,2,3,3,3,1,2,4,4,2,2,3,2,4,4,3,5,2] {"0":[100,1],"1":[66,128],"2":[6,89],"3":[0,9]} [72,300,170]
1 20 100 24 100 [1,3,5,4,3,2,3,3,4,3,5,3,4,5,4,3,2,4,5,5,4,2,4,4,2,2,3,3,2,2,4,5,5,3,3,3,3,4,4,4,3,3,4,5,4,3,3,4,4,3,4,4,3,3,5,5,3,3,3,4,2,3,4,3,2,3,3,2,2,2,4,4,2,4,4,2,3,3,3,4,3,2,4,4,5,4,2,3,2,2,4,5,4,3,3,2,3,3,4,4,2] {"0":[100,1],"1":[90,109],"2":[4,128],"3":[0,4]} [94,337,192]
1 20 100 24 100 [1,3,3,3,5,4,2,3,3,2,2,2,3,5,4,3,3,3,3,5,3,3,6,6,3,4,6,5,2,2,2,3,3,4,4,3,4,2,3,6,5,3,5,4,3,4,4,2,4,3,3,4,3,3,2,3,3,3,4,3,4,4,3,4,5,4,4,4,4,3,2,4,3,2,2,2,4,4,3,4,3,4,3,3,2,3,3,3,4,3,3,2,3,3,2,3,4,4,3,3,1] {"0":[100,1],"1":[83,116],"2":[5,122],"3":[0,8]} [88,335,187]
2 20 100 24 100 [1,3,6,10,9,7,7,8,8,6,6,8,7,8,7,8,9,10,8,5,6,7,6,7,6,6,4,6,6,6,8,9,9,9,9,7,8,9,8,6,9,10,10,10,8,5,6,4,4,5,6,7,6,8,8,9,9,7,8,9,9,9,8,7,4,6,6,7,7,10,10,7,8,7,8,8,5,6,7,9,8,6,6,9,9,8,6,6,8,7,6,9,10,9,7,7,6,6,8,7,4] {"0":[100,1],"1":[197,97],"2":[32,351],"3":[2,46],"4":[0,2]} [231,731,327]
2 20 100 24 100 [1,2,4,5,7,8,8,12,11,7,7,8,10,14,11,7,9,7,8,6,10,10,8,8,8,7,7,8,8,9,8,8,7,6,7,8,7,7,8,6,8,9,10,7,7,8,9,8,9,9,8,8,9,8,5,6,6,7,7,9,9,9,9,10,10,7,8,8,7,9,9,7,8,9,7,8,6,8,9,9,9,7,7,5,6,8,8,7,6,4,6,6,7,8,8,8,11,8,7,8,5] {"0":[100,1],"1":[204,93],"2":[33,381],"3":[5,47],"4":[0,11]} [242,779,337]
2 20 100 24 100 [1,2,3,6,8,10,8,5,4,7,6,5,7,9,9,8,5,5,9,9,7,5,4,5,5,8,9,9,8,9,8,9,7,7,9,9,9,8,7,6,8,10,11,8,8,8,7,8,12,10,8,7,7,6,7,7,6,9,10,9,11,9,8,7,5,2,3,3,5,4,6,9,12,11,10,7,7,9,6,7,9,10,8,8,7,11,10,8,8,7,3,6,6,6,7,8,9,8,8,8,4] {"0":[100,1],"1":[182,108],"2":[46,313],"3":[6,73],"4":[0,8]} [234,740,330]
3 20 100 24 100 [1,3,6,11,13,14,22,18,13,13,13,15,16,16,15,14,13,12,14,13,12,13,12,10,12,13,12,14,15,20,17,16,17,20,15,15,14,13,14,11,13,17,16,16,13,12,12,17,17,17,16,14,13,14,19,16,11,11,8,11,14,11,13,12,15,13,12,12,13,15,15,14,11,11,13,14,13,15,14,15,19,23,23,20,15,15,15,11,13,14,17,16,16,15,14,13,13,13,16,13,8] {"0":[100,1],"1":[310,84],"2":[103,659],"3":[22,182],"4":[3,33],"5":[1,4],"6":[0,1]} [439,1410,531]
3 20 100 24 100 [1,3,5,8,11,10,11,15,15,15,14,13,11,12,12,13,17,24,23,17,13,11,13,14,11,11,16,20,17,13,12,12,8,9,11,10,11,10,14,16,17,19,23,21,15,13,12,14,17,13,16,18,12,13,13,14,18,20,20,16,12,10,9,5,9,15,18,19,15,14,14,17,15,13,14,16,20,19,14,12,11,17,16,14,15,17,19,13,11,7,10,11,14,13,12,13,13,16,15,12,7] {"0":[100,1],"1":[297,89],"2":[128,592],"3":[23,211],"4":[1,33],"5":[0,1]} [449,1382,542]
